"index","s1","s2","s3","s4","s5","raf","bts","lab","cap","mco","dco","mng","dng","dtax","gtax","ptax","trf","hh","TPOA","gov","inv","exp","total"
"s1","34.80","7.12","0.02","0.18","46.35","1.17","1.38","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","76.42","0.22","0.00","14.87","14.58","197.10"
"s2","8.20","207.07","16.79","30.10","118.96","2.67","3.15","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","491.94","0.56","213.80","48.84","42.65","1184.74"
"s3","3.30","34.60","29.61","6.89","55.97","0.83","0.99","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","95.47","0.14","0.56","6.57","38.25","273.18"
"s4","0.54","18.72","0.55","48.41","6.26","0.15","0.17","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4.97","0.83","0.06","232.12","4.32","317.11"
"s5","6.93","100.57","4.92","84.67","227.92","3.83","9.30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","303.34","1.65","8.97","141.88","258.20","1152.17"
"raf","10.50","1.40","68.86","0.64","18.83","2.95","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.78","0.00","0.00","0.00","13.15","117.11"
"bts","0.01","2.09","0.43","0.29","28.62","1.11","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6.14","0.00","0.00","0.00","0.11","38.82"
"lab","4.49","284.38","23.17","30.12","91.40","2.30","2.72","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","438.58"
"cap","120.26","441.60","104.44","86.07","179.71","4.53","5.34","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","941.95"
"mco","0.00","0.00","0.00","0.00","0.00","27.38","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","27.38"
"dco","0.00","0.00","0.00","0.00","0.00","3.29","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.29"
"mng","0.00","0.00","0.00","0.00","0.00","0.00","8.38","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","8.38"
"dng","0.00","0.00","0.00","0.00","0.00","0.00","0.12","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.12"
"dtax","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","96.88","0.00","0.00","0.00","0.00","96.88"
"gtax","-2.29","27.38","0.75","3.47","45.25","43.50","7.22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","125.28"
"ptax","-3.06","5.13","0.12","1.24","1.38","0.03","0.04","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4.89"
"trf","1.76","7.20","3.10","3.29","43.63","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","58.98"
"hh","0.00","0.00","0.00","0.00","0.00","0.00","0.00","438.58","941.95","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1380.53"
"TPOA","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.29","0.00","0.12","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.41"
"gov","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","96.88","125.28","4.89","58.98","0.00","0.00","0.00","0.00","0.00","286.02"
"sav","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","304.58","0.00","62.62","0.00","77.08","444.28"
"imp","11.64","47.48","20.43","21.74","287.89","23.37","0.00","0.00","0.00","27.38","0.00","8.38","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","448.32"
"total","197.10","1184.74","273.18","317.11","1152.17","117.11","38.82","438.58","941.95","27.38","3.29","8.38","0.12","96.88","125.28","4.89","58.98","1380.53","3.41","286.02","444.28","448.32","0.00"
