index,s1,s2,s3,s4,s5,raf,bts,lab,cap,mco,dco,mng,dng,dtax,gtax,ptax,trf,hh,TPAO,gov,inv,exp,total
s1,34.80,7.12,0.02,0.18,46.51,0.78,1.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.42,0.22,0.00,14.87,14.58,196.88
s2,8.20,207.07,16.77,30.10,119.31,1.78,3.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,491.94,0.56,213.80,48.84,42.65,1184.17
s3,3.30,34.60,29.57,6.89,56.14,0.56,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.47,0.14,0.56,6.57,38.25,273.04
s4,0.54,18.72,0.55,48.41,5.48,0.10,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.97,0.83,0.06,232.12,4.32,316.28
s5,6.71,100.01,4.83,83.84,227.19,1.21,9.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,303.34,1.65,8.97,141.88,258.82,1147.74
raf,10.50,1.40,68.86,0.64,18.83,2.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,0.00,0.00,0.00,12.52,116.48
bts,0.01,2.09,0.43,0.29,28.62,1.11,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.14,0.00,0.00,0.00,0.11,38.82
lab,4.49,284.38,23.17,30.12,92.16,1.53,2.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,438.58
cap,120.26,441.60,104.44,86.07,181.22,3.02,5.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,941.95
mco,0.00,0.00,0.00,0.00,0.00,27.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.38
dco,0.00,0.00,0.00,0.00,0.00,3.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.29
mng,0.00,0.00,0.00,0.00,0.00,0.00,8.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.38
dng,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12
dtax,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,96.88,0.00,0.00,0.00,0.00,96.88
gtax,-2.29,27.38,0.75,3.47,45.25,43.50,7.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,125.28
ptax,-3.06,5.13,0.12,1.24,1.39,0.02,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.89
trf,1.76,7.20,3.10,3.29,43.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.98
hh,0.00,0.00,0.00,0.00,0.00,0.00,0.00,438.58,941.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1380.53
TPAO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.29,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.41
gov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,96.88,125.28,4.89,58.98,0.00,0.00,0.00,0.00,0.00,286.02
sav,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,304.58,0.00,62.62,0.00,77.08,444.28
imp,11.64,47.48,20.43,21.74,282.00,29.26,0.00,0.00,0.00,27.38,0.00,8.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,448.32
total,196.88,1184.17,273.04,316.28,1147.74,116.48,38.82,438.58,941.95,27.38,3.29,8.38,0.12,96.88,125.28,4.89,58.98,1380.53,3.41,286.02,444.28,448.32,0.00
